HËÂT RŌČK.,Tobe Nwigwe,THË ØRÎGÎNĀŁS.,2018
King Lear Act 5 Scene 3,William Shakespeare,King Lear,1606
Never Did 3 Quarters,Jim Jones,Wasted Talent,2018
Hilly Hilly Hilly Clinton,Daniel Nwosu Jr,daniel nwosu jr,none
Mmangwane,Cassper Nyovest,Refiloe,2015
AintNuttin,French Montana,Casino Life 2: Brown Bag Legend,2015
2018 haywoodindahood Listening Log,Gerald Haywood,2018 Genius User Listening Log,2018
Revelation 1,Holy Bible (KJV),none,none
Purple Haze,The Diplomats,Diplomatic Immunity,2003
Tru Master,Pete Rock,Soul Survivor,1998
Why,Kalash,Mwaka Moon,2017
Tsu Surf vs T-Top,URLtv,N.O.M.E. 6,2016
Da Hated,Vado,Sinatra 3,2018
Miss U,Young Thug,1017 Thug,2013
Rosie at Rubber Tracks,Pro Era,Underground Airplay 2: The New York Renaissance,2013
"Knock, Knock",GZA,Legend of the Liquid Sword,2002
Poignée de Punchlines,Give Me Five Prod,La Poignée de Punchlines (51 - 100),2015
No Gun Control,Tech N9ne,The Storm,2016
Cornerstone (Live),Hillsong Worship,Cornerstone (Live),2012
American Way,Nas,Street's Disciple,2004
Ulysses (Chap. 14 - Oxen of the Sun),James Joyce,Ulysses,1922
Skyline mit zwei Türmen,Marteria,Roswell,2017
Rolling Stone,Kurdo & Majoe,none,2017
Ain't No Grave (Gonna Hold This Body Down),Johnny Cash,American VI: Ain't No Grave,2010
An Ante-Bellum Sermon,Paul Laurence Dunbar,The Complete Poems of Paul Laurence Dunbar,none
Famous Hockey Fans,Sports Genius,Famous Sports Fans,2014
This Is The Life,Rick Ross,Trilla,2008
Maior Que Seu Mundo,Mãolee,Bendito,2018
Shut Up Bitch,Lil' Kim,The Naked Truth,2005
Florida State,RiFF RAFF,Trench Coat Towers,2015
The Fairy Feller's Master-Stroke,Queen,Queen II,1974
Too Much,French Montana,Jungle Rules,2017
Tym się jaram,Solar/Białas,#nowanormalność,2016
Slapp,Stalley,none,2011
Best Songs of 2015,swinelord,SwineLord's Rap Ideas,2015
"Blood, Sweat & Tears",Lowkey,Soundtrack to the Struggle,2011
No Smoke,Montana of 300,Fire In The Church,2016
Chess vs. Ave,URLtv,N.O.M.E. 6,2016
Taking Me Down,OverDoz.,"Live For, Die For",2011
Na Mão do Palhaço,PrimeiraMente,Na Mão do Palhaço,2017
Location Remote,"Curren$y, Freddie Gibbs & The Alchemist",FETTI,2018
Eminem - Framed (ترجمه ی فارسی),Genius Farsi Translations,Eminem - Revival (ترجمه ی فارسی),2017
Indicator,Spice,Skelewu Riddim,2016
A Midsummer Night's Dream Act 5 Scene 1,William Shakespeare,A Midsummer Night's Dream,1600
Who Knows,Lou the Human,Humaniac,2017
"Arabian Nights,Vol. 2 (Chap. 3)",Richard F. Burton,Arabian Nights (Vol. 2),none
Paris Is Burning,St. Vincent,Marry Me,2007
Blow Them Horns II,Ab-Soul,Long Term,2009
The Real Justina,Justina Valentine,Feminem,2017
This Land,Gary Clark Jr.,This Land,2019
Oh Love,MisterWives,Connect The Dots,2017
Apex,Chris Webby,Next Wednesday,2018
Zion,Omen,Elephant Eyes,2015
Fantomas,Alkpote,Les Marches de l'Empereur,2017
Finnegan's Wake (Chap. 2.2),James Joyce,Finnegans Wake,1939
Great Expectations (Chap. 7),Charles Dickens,Great Expectations,1860
Kiss the Sky,The Underachievers,Renaissance,2017
Pimps (Free Stylin at the Fortune 500 Club),The Coup,Genocide and Juice,1994
Othello Act 4 Scene 1,William Shakespeare,Othello,1603
"Lecture 19: Sales and Marketing, How to Pitch, and Investor Meeting Roleplaying",Tyler Bosmeny,How To Start A Startup - CS183B,none
Dogg,Yo Gotti,Gotti Made-It,2017
The Golden Child,Papoose,Underrated,2019
Who Do You Think You Are,Spice Girls,Spice,1996
Our Love Will Survive,Wild Belle,Dreamland,2016
Ex Nihilo,Andy Mineo,none,2013
The Family,Canon,Loose Canon Vol. 3,2016
Jay-Z,Tiffany Foxx,Yellow Tape,2012
$tacks of Dreams,B.o.B,E.A.R.T.H (Educational Avatar Reality Training Habitat),2016
Cocaina,Porchy,none,2016
Job (all chapters),Holy Bible (KJV),none,2016
Way Down Hadestown II,Original Cast of Hadestown,Hadestown: The Myth. The Musical. (Live Original Cast Recording),2017
Jussummen,Das EFX,Dead Serious,1992
It's Lit,Dave East & Styles P,Beloved,2018
Neighborhood Scientists,Migos,Back to the Bando,2015
500 K,Kraftklub,none,2015
ID Thieves,Sage Francis,none,2014
Datpiff (Freeverse),Chris Webby,Webster's Laboratory 2,2016
TaktTicker,AL Kareem,Wittens Attitüde,none
Made in Germany,Kurdo,Vision,2017
Famous Basketball Fans,Sports Genius,Famous Sports Fans,2014
As It Was in the Beginning,Jedi Mind Tricks,"The Psycho-Social, Chemical, Biological and Electro-Magnetic Manipulation of Human Consciousness",1997
The Incredible True Story [Credits],Logic,The Incredible True Story,2015
Despierta,Snow Tha Product,Despierta - Single,2016
G,G-Mo Skee,none,2016
JÔCKÎN.,Tobe Nwigwe,THË ØRÎGÎNĀŁS.,2018
The Eve Of St. Agnes,John Keats,Keats: Poems Published in 1820,none
Io ti ammazzerei,lowlow,Redenzione,2017
Tsu Surf Freestyles on Flex | Freestyle #021,Tsu Surf,Funk Flex Freestyles,none
"Paradise Lost, Book 2",John Milton,Paradise Lost,1667
Punch a Nazi,Chris Ray Gun,Social Justice: The Musical,none
The Canterbury Tales (The Knight's Tale),Geoffrey Chaucer,The Canterbury Tales,none
Motion,Curren$y,Priest Andretti,2012
Idiot,Atmosphere,Southsiders,2014
Hinterland [Credits],Casper,Hinterland,2013
Matthew 6,Holy Bible (KJV),none,none
All Black Party,Aha Gazelle,Trilliam 3,2017
Caesar's Rise,Kemba,Negus,2016
Take Me Back,Simi,Simisola,2017
Stun Gun,7L & Esoteric,CZARFACE Meets Metal Face,2018
Victoria,Arcángel & Tory Lanez,none,2018
4-5-6,Foxy Brown,Chyna Doll,1999
Offensive Realism in Brief,John Mearsheimer,The Tragedy of Great Power Politics,none
Eminem - The Ringer (Türkçe Çeviri),Genius Türkçe Çeviri,Eminem - Kamikaze (Türkçe Çeviri),2018
For Længe,Volkan (DK),Sorte Penge Hvide Lommer,2017
Maybe I Should,Sylvan LaCue,Searching Sylvan,2014
Freestyle de l'Entourage en live dans Planète Rap !,Planète Rap,L'Entourage (Jeunes Entrepreneurs),2014
Halle Berry vs. James Corden,Drop The Mic,Season 1,2017
Help Me,Deuce,Nine Lives,2012
Rest Stop,Kero Kero Bonito,Time 'n' Place,2018
Keep Calm E Sientete A Clementino,Clementino,Vulcano,2017
Kooks,David Bowie,Hunky Dory,1971
Fireborn,JT Machinima,O.P.,2017
Red Byers (Say Som'n Do Som'n),Tech N9ne,Planet,2018
King Lear Act 2 Scene 4,William Shakespeare,King Lear,1606
Sremmlife [Tracklist + Album Art],Rae Sremmurd,SremmLife,2015
Fire in the Booth (Part 2),Lowkey,Fire in the Booth Part 2 (artist: Lowkey),none
Can't You Tell?,Aimee Mann,"1000 Days, 1000 Songs",2016
Compton [Credits],Dr. Dre,Compton,2015
Rone vs. Caustic (Title Match),King of the Dot,World Domination 6,2016
Real Talk - Drimer,Real Talk,Real Talk - Season #2,2017
OhSh,Jean Grae & Quelle Chris,Everything's Fine,2018
Trump's Private Pilot,Father John Misty,Too Dumb for Suicide: Tim Heidecker's Trump Songs,2017
Tricératops,Alkpote,Les Marches de l'Empereur,2017
Illegal,18 Karat,Geld Gold Gras,2018
Daze,Ja-Bar,Cortez,2009
"Nineteen Eighty-Four (Book 1, Chapter 5)",George Orwell,Nineteen Eighty-Four,1949
"Topsy Turvy, Pt. 1",Alan Menken,The Hunchback of Notre Dame (Studio Cast Recording),2016
Remember,Seinabo Sey,I'm A Dream,2018
Rickety Rackety,Aesop Rock,"Fast Cars, Danger, Fire, and Knives",2005
Tuck Tape,The AAA Girls,Access All Areas,2017
Dumb,The High & Mighty,12th Man,2005
Boogie Woogie Bugle Boy,The Andrews Sisters,The Andrews Sisters in Hi-Fi,1956
If You Know What I Mean,Horrorshow,Bardo State,2017
Donald Trump,Young Thug,Purple Album: People Usually Ridicule The Powerful Lead By Example,2014
Testing Me,Page Kennedy,Torn Pages,2017
Bestie,PA Sports,Verloren im Paradies,2017
On Voting for Trump,Kanye West,Kanye West's Visionary Streams of Consciousness,none
Fools,Robin Schulz,none,2017
Leon Best,CASisDEAD,The Number 23,2013
Good Morning,Cage,none,2005
Denken Sie groß,Deichkind,Niveau Weshalb Warum,2015
The Love Me Or Die,C.W. Stoneking,Jungle Blues,2008
Reputations On The Line,Kevin Gates,I Don't Know What 2 Call It Vol 1,2011
Last Year,Borgore,#NEWGOREORDER,2014
Incroyable,Sinik,Drone,2017
Spartibus,Canibus,Rip the Jacker,2003
Marco Script,Better Call Saul,Better Call Saul Season 1,2015
Pillole,lowlow,Il Bambino Soldato,2018
The People's Douche,Spose,The Peter Sparker Mixtape,2013
Fils du hip-hop,Gaël Faye,Pili pili sur un croissant au beurre,2013
Almost Every Album I've Listened To,ScopeY _/,ScopeY Meta,2016
Rose Parade,Elliott Smith,Either/Or,1997
Doll-Dagga Buzz-Buzz Ziggety-Zag,Marilyn Manson,The Golden Age of Grotesque,2003
Still I Rise,Young Wicked,The Return of the Prodigal Son,2017
Living In The Future,Dawes,Passwords,2018
GET EM,GAWVI,PANORAMA,2018
Double Cup (Remix),DJ Infamous,King Foxx,2014
Chirpin',Pell,girasoul,2017
Compro oro,Viito,Troppoforte,2018
Different Worlds,The Underachievers,Renaissance,2017
Sky is Falling,Nujabes,Hydeout Productions 2nd Collection,2007
Les Putains De Marches,Alkpote,Les Marches de l'Empereur,2017
Goodmorning Sunshine,Quasimoto,The Unseen,2000
Google That,N.O.R.E.,Crack on Steroids,2012
Sailor,Tobi Lou,Tobi Lou and the Moon,2018
Fresco vs QP,King of the Dot,none,2016
Janglin,Edward Sharpe & The Magnetic Zeros,Up from Below,2009
Young Blood,Lucho SSJ,Sangre Joven,2018
Fat Fingers,clipping.,"1000 Days, 1000 Songs",2016
Donald Trump,Emis Killa,Supereroe,2018
Walk You Home (This Day),Horrorshow,Inside Story,2009
Back In The Day,Only The Family,Lil Durk Presents: Only The Family Involved: Vol. 1,2018
Living Well. Living Good.,Maya Angelou,Wouldn't Take Nothing for my Journey Now,none
Winter Solstice (alt. version),mewithoutYou,[untitled] e.p.,2018
Filthy America,The LOX,Filthy America… It's Beautiful,2016
Donald Trump,Bass Sultan Hengzt,2ahltag: Riot,2017
Killin' 'Em,Busta Rhymes,E.L.E. (Extinction Level Event) 2: End of the World,none
Childe Harold's Pilgrimage (Canto 1),Lord Byron,Childe Harold's Pilgrimage,1812
Apache Rose Peacock,Red Hot Chili Peppers,Blood Sugar Sex Magik,1991
Natural Mystic,Alborosie,Soul Pirate,2008
The Ladder,Common,Catch the Throne: The Mixtape,2014
Eminem - Framed (Deutsche Übersetzung),Genius Translations,Eminem (Deutsche Übersetzungen),none
I. The Sun,The Microphones,Mount Eerie,2003
Hova Interlude,JAY-Z,Vol. 3… Life and Times of S. Carter,1999
Cvtvlyst,WYNNE (rap),CVTVLYST - Single,2017
Match retour,Caballero & JeanJass,Double Hélice 2,2017
How About Some Hardcore,M.O.P.,To the Death,1994
Chase Down The Bully,Ice Cube,Everythang's Corrupt,2018
A Very Nice Prince / First Midnight / Giants in the Sky,Original Broadway Cast of Into the Woods,Into the Woods (Original Broadway Cast Recording),1987
Ogre Battle,Queen,Queen II,1974
RiceGum,Uma Kompton,Hey Rat,2017
The Greatest Conversation Ever in the History of the Universe,Jesu and Sun Kil Moon,30 Seconds to the Decline of Planet Earth,2017
Alarmier deine Gang,Neo Unleashed,Freetracks & Exclusives,2017
"Love, Lust, and Liars",I Prevail,Heart vs. Mind,2014
Real Life Shit,Buddy,Harlan & Alondra,2018
Time Forgot,Conor Oberst,Upside Down Mountain,2014
Changes (Remix),Dax,2Pac Reincarnation Vol. 2,2018
U Better Recognize,Sam Sneed,none,1994
Rock Wit Us,FMB DZ & Sada Baby,Double Dragon,2018
My Name's Donnie Trump,Rucka Rucka Ali,Everything Is Racist,2016
Maud; A Monodrama,"Alfred, Lord Tennyson",Maud and other poems,none
Second To None,Styles of Beyond,Reseda Beach,2012
Route 66,AKTHESAVIOR,Blessings In The Gray 2,2016
February 2017 Album Release Calendar,Genius,2017 Album Release Calendar,2017
Grown For A Minute,E-Dubble,Freestyle Friday,2010
Round and Round,Twinz,Conversation,1995
Declare Independence,Björk,Volta,2007
The Procession,The Dear Hunter,"Act II: The Meaning of, and All Things Regarding Ms. Leading",2007
MA,Majoe,Auge des Tigers,2017
Whore,Necro,The Sexorcist,2005
Rag and Bone,The White Stripes,Icky Thump,2007
Vs. BattleBoi Basti — [HR Halbfinale VBT Splash!-Edition 2012],Sorgenkind,VBT - Splash! Edition 2012,2012
Different Breed,Rittz,Last Call,2017
Politics,Josh A,Blessed,2016
